durations,disp,start,jitter,display,spatial,temporal,catchn,catchd,x_loc,box_loc,top_hg_loc,bottom_hg_loc,ystartdistractor1,ystartdistractor2,ystarttarget,xstartdistractor1,xstartdistractor2,durationsdistractor1,durationsdistractor2,jitterdistractor1,jitterdistractor2,dispdistractor1,dispdistractor2
1,725,-300,362.5,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
1,575,-200,287.5,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
1,800,-600,400,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
1.5,133.3333333,-400,66.66666667,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
1.5,183.3333333,-200,91.66666667,time,0,1,1,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
2,287.5,-400,143.75,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
2,325,-300,162.5,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
2,362.5,-200,181.25,time,0,1,1,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
2.5,260,-500,130,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
2.5,320,-300,160,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
2.5,140,-600,70,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
3,116.6666667,-600,58.33333333,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
3,141.6666667,-400,70.83333333,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
3,241.6666667,-200,120.8333333,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
3.5,57.14285714,-200,28.57142857,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
3.5,185.7142857,-400,92.85714286,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
4,50,-400,25,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
4,87.5,-200,43.75,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
4,68.75,-600,34.375,line,1,0,1,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
4.5,61.11111111,-300,30.55555556,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
4.5,144.4444444,-400,72.22222222,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
4.5,161.1111111,-500,80.55555556,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
5,70,-400,35,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,0,0,0,0,0,0,0,0,0,0
5,85,-600,42.5,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
5,115,-200,57.5,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,0,0,0,0,0,0,0,0,0,0
1,200,-400,100,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",100,0,-100,-400,-200,0.75,0.5,20,22.22222222,40,44.44444444
1,350,-500,175,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",-100,100,0,-500,-450,0.75,0.5,35,38.88888889,70,77.77777778
1,800,-600,400,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",-100,100,0,-600,-550,1.5,1.5,80,88.88888889,160,177.7777778
1.5,283.3333333,-300,141.6666667,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",100,0,-100,-300,-250,1,0.75,212.5,42.5,425,85
1.5,383.3333333,-500,191.6666667,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",-100,100,0,-500,-300,1,0.75,287.5,57.5,575,115
2,287.5,-400,143.75,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",-100,100,0,-400,-200,1.5,1,191.6666667,287.5,383.3333334,575
2,325,-300,162.5,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",100,0,-100,-300,-400,1.5,1,216.6666667,325,433.3333334,650
2,362.5,-200,181.25,line,1,0,1,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,-100,100,-200,-500,0.75,1,241.6666667,362.5,483.3333334,725
2.5,140,-600,70,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",-100,100,0,-600,-400,2,1.5,87.5,116.6666667,175,233.3333334
2.5,320,-300,160,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",-100,100,0,-300,-500,2,1.5,200,266.6666667,400,533.3333334
3,116.6666667,-600,58.33333333,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",-100,100,0,-600,-500,2.5,2,70,87.5,140,175
3,141.6666667,-400,70.83333333,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",100,0,-100,-400,-250,2.5,2,85,106.25,170,212.5
3,216.6666667,-500,108.3333333,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",100,0,-100,-500,-450,2.5,2,130,162.5,260,325
3.5,78.57142857,-600,39.28571429,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,-100,100,-600,-200,3,2.5,45.83333333,55,91.66666666,110
3.5,142.8571429,-500,71.42857143,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,-100,100,-500,-600,0.75,3,83.33333333,100,166.6666667,200
3.5,185.7142857,-400,92.85714286,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",100,0,-100,-400,-450,3,2.5,108.3333333,130,216.6666666,260
4,68.75,-600,34.375,time,0,1,1,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",0,-100,100,-600,-350,2,3,39.28571429,45.83333333,78.57142858,91.66666666
4,87.5,-200,43.75,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",-100,100,0,-200,-450,3.5,3,50,58.33333333,100,116.6666667
4,143.75,-300,71.875,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",-100,100,0,-300,-400,3.5,3,82.14285714,95.83333333,164.2857143,191.6666667
4.5,61.11111111,-300,30.55555556,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,-100,100,-300,-350,4,3.5,34.375,39.28571429,68.75,78.57142858
4.5,144.4444444,-400,72.22222222,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",100,0,-100,-400,-500,4,3.5,81.25,92.85714286,162.5,185.7142857
4.5,161.1111111,-500,80.55555556,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, -.4]","[.15,-.4]","[-.75,.42]","[-.75,.4]",0,-100,100,-500,-200,4,3.5,90.625,103.5714286,181.25,207.1428572
5,85,-600,42.5,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",100,0,-100,-600,-400,4.5,4,47.22222222,53.125,94.44444444,106.25
5,115,-200,57.5,time,0,1,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",-100,100,0,-200,-250,4.5,4,63.88888889,71.875,127.7777778,143.75
5,160,-500,80,line,1,0,0,"please press the ""c"" key on your keyboard","[-.75, .4]","[.15,.4]","[-.75,-.38]","[-.75,-.4]",-100,100,0,-500,-300,3,4.5,88.88888889,100,177.7777778,200